date,selection,odds,result,spread_line,spread_odds,spread_result,ou_line,ou_odds,ou_result,total_points,location
2012-11-05,Dallas,-171.2,1,-4.17,-107.17,27.17,197.17,-108.83,7.8300000000000125,205.0,home
2012-11-05,Portland,154.0,0,4.17,-109.5,-27.17,197.17,-107.83,7.8300000000000125,205.0,away
2012-11-05,San Antonio,-430.0,1,-8.08,-108.33,30.08,194.0,-108.0,-14.0,180.0,home
2012-11-05,Indiana,351.2,0,8.08,-108.33,-30.08,194.0,-108.67,-14.0,180.0,away
2012-11-05,Sacramento,-128.75,1,-2.25,-108.5,4.25,198.83,-107.17,-12.830000000000013,186.0,home
2012-11-05,Golden State,113.25,0,2.25,-109.0,-4.25,198.83,-109.5,-12.830000000000013,186.0,away
2012-11-05,Cleveland,531.75,1,9.92,-111.33,-2.92,198.75,-109.67,10.25,209.0,away
2012-11-05,Utah,179.8,0,5.17,-107.17,-14.17,194.92,-108.17,2.0800000000000125,197.0,away
2012-11-06,Chicago,-480.0,1,-9.0,-109.5,15.0,186.33,-107.67,5.6699999999999875,192.0,home
2012-11-06,Denver,-636.25,1,-10.0,-109.5,22.0,198.92,-108.33,7.0800000000000125,206.0,home
2012-11-06,Orlando,391.6,0,9.0,-107.17,-15.0,186.33,-109.0,5.6699999999999875,192.0,away
2012-11-06,Toronto,394.8,0,9.17,-109.33,-29.17,198.17,-108.83,-2.1699999999999875,196.0,away
2012-11-06,Detroit,490.5,0,10.0,-108.83,-22.0,198.92,-110.0,7.0800000000000125,206.0,away
2012-11-06,Oklahoma City,-494.0,1,-9.17,-107.33,29.17,198.17,-107.83,-2.1699999999999875,196.0,home
2012-11-07,Miami,-675.0,1,-10.0,-109.0,40.0,206.42,-109.0,-30.419999999999987,176.0,home
2012-11-07,Charlotte,126.8,0,3.0,-106.67,-10.0,193.0,-107.67,34.0,227.0,home
2012-11-07,Phoenix,-145.6,1,-3.0,-111.67,10.0,193.0,-110.67,34.0,227.0,away
2012-11-07,Boston,-615.0,1,-9.67,-108.17,15.67,186.67,-108.17,7.3300000000000125,194.0,home
2012-11-07,Washington,473.4,0,9.67,-108.5,-15.67,186.67,-108.5,7.3300000000000125,194.0,away
2012-11-07,Atlanta,-174.0,1,-3.83,-109.83,6.83,191.25,-108.33,-16.25,175.0,home
2012-11-07,Indiana,156.6,0,3.83,-106.83,-6.83,191.25,-108.33,-16.25,175.0,away
2012-11-07,Brooklyn,512.8,0,10.0,-107.67,-40.0,206.42,-107.67,-30.419999999999987,176.0,away
2012-11-07,Milwaukee,-111.25,0,-0.17,-108.83,-17.83,197.17,-108.17,0.8300000000000125,198.0,home
2012-11-07,Philadelphia,-118.0,1,-1.75,-108.17,16.75,179.58,-108.17,-40.58000000000001,139.0,away
2012-11-07,Memphis,-4.0,1,0.17,-107.83,17.83,197.17,-108.5,0.8300000000000125,198.0,away
2012-11-07,New Orleans,52.75,0,1.75,-108.5,-16.75,179.58,-108.5,-40.58000000000001,139.0,home
2012-11-07,Houston,-135.25,0,-2.58,-107.5,-3.42,204.83,-108.0,-24.830000000000013,180.0,home
2012-11-07,Toronto,250.0,0,7.0,-109.67,-12.0,196.75,-107.17,16.25,213.0,away
2012-11-07,Orlando,203.0,0,5.83,-109.83,-20.83,194.0,-106.5,-29.0,165.0,away
2012-11-07,Dallas,-292.4,1,-7.0,-107.0,12.0,196.75,-109.5,16.25,213.0,home
2012-11-07,Cleveland,197.2,0,5.5,-106.5,-15.5,201.17,-109.33,0.8300000000000125,202.0,away
2012-11-07,Utah,-141.5,1,-2.5,-107.83,11.5,197.33,-108.67,-16.330000000000013,181.0,home
2012-11-07,L.A. Lakers,125.75,0,2.5,-108.83,-11.5,197.33,-108.0,-16.330000000000013,181.0,away
2012-11-07,Sacramento,-268.0,1,-6.5,-110.17,8.5,192.42,-108.0,15.580000000000013,208.0,home
2012-11-07,Detroit,233.8,0,6.5,-107.33,-8.5,192.42,-108.67,15.580000000000013,208.0,away
2012-11-07,L.A. Clippers,0.5,1,1.42,-109.33,20.58,203.25,-107.5,-13.25,190.0,home
2012-11-07,San Antonio,-115.5,0,-1.42,-108.17,-20.58,203.25,-109.17,-13.25,190.0,away
2012-11-07,Denver,119.5,1,2.58,-109.17,3.42,204.83,-108.67,-24.830000000000013,180.0,away
2012-11-07,Golden State,-230.0,1,-5.5,-110.17,15.5,201.17,-107.33,0.8300000000000125,202.0,home
2012-11-07,Minnesota,-236.0,1,-5.83,-106.83,20.83,194.0,-110.17,-29.0,165.0,home
2012-11-08,Chicago,123.6,0,2.5,-105.83,-8.5,190.75,-108.0,-2.75,188.0,home
2012-11-08,Oklahoma City,-140.2,1,-2.5,-110.83,8.5,190.75,-108.67,-2.75,188.0,away
2012-11-08,L.A. Clippers,-4.5,1,-0.33,-108.33,13.33,201.17,-108.33,-8.169999999999987,193.0,away
2012-11-08,Portland,-110.5,0,0.33,-108.33,-13.33,201.17,-108.33,-8.169999999999987,193.0,home
2012-11-09,Memphis,-304.0,1,-6.92,-109.17,14.92,194.92,-107.67,-16.919999999999987,178.0,home
2012-11-09,New York,-252.0,1,-6.17,-108.5,16.17,198.33,-108.33,-0.3300000000000125,198.0,home
2012-11-09,Miami,-187.6,1,-4.67,-107.0,10.67,198.25,-108.5,-14.25,184.0,away
2012-11-09,Houston,256.0,0,6.92,-109.17,-14.92,194.92,-110.67,-16.919999999999987,178.0,away
2012-11-09,Atlanta,165.6,0,4.67,-109.67,-10.67,198.25,-108.17,-14.25,184.0,home
2012-11-09,Dallas,218.4,0,6.17,-108.17,-16.17,198.33,-108.33,-0.3300000000000125,198.0,away
2012-11-09,Milwaukee,-158.4,1,-3.5,-109.83,13.5,192.67,-110.83,-0.6699999999999875,192.0,away
2012-11-09,Philadelphia,184.8,1,5.58,-108.67,0.41999999999999993,180.67,-108.17,25.330000000000013,206.0,away
2012-11-09,Boston,-212.0,0,-5.58,-108.0,-0.41999999999999993,180.67,-108.5,25.330000000000013,206.0,home
2012-11-09,Brooklyn,-141.8,1,-2.83,-109.83,41.83,195.83,-107.33,-20.830000000000013,175.0,away
2012-11-09,Orlando,125.2,0,2.83,-106.83,-41.83,195.83,-109.33,-20.830000000000013,175.0,home
2012-11-09,Washington,139.4,0,3.5,-108.5,-13.5,192.67,-107.5,-0.6699999999999875,192.0,home
2012-11-09,Oklahoma City,-866.25,1,-11.58,-107.0,22.58,197.42,-108.5,1.5800000000000125,199.0,home
2012-11-09,Indiana,105.0,0,1.42,-108.33,-3.42,184.25,-107.5,5.75,190.0,away
2012-11-09,Charlotte,259.8,0,7.17,-109.0,-15.17,180.58,-108.0,25.419999999999987,206.0,away
2012-11-09,L.A. Lakers,-344.0,1,-7.33,-108.67,31.33,198.83,-107.67,-20.830000000000013,178.0,home
2012-11-09,Utah,196.4,0,5.67,-107.5,-25.67,203.33,-109.17,-15.330000000000013,188.0,away
2012-11-09,Denver,-227.4,1,-5.67,-109.17,25.67,203.33,-107.5,-15.330000000000013,188.0,home
2012-11-09,San Antonio,-238.0,1,-5.75,-109.0,16.75,198.58,-108.0,-15.580000000000013,183.0,away
2012-11-09,Sacramento,205.0,0,5.75,-107.67,-16.75,198.58,-108.67,-15.580000000000013,183.0,home
2012-11-09,Golden State,284.2,0,7.33,-110.5,-31.33,198.83,-110.67,-20.830000000000013,178.0,away
2012-11-09,Phoenix,-148.0,1,-3.33,-107.17,5.33,200.92,-108.33,11.080000000000013,212.0,home
